NDVI,GNDVI,SAVI,RVI,EVI,label,label_str
0.7525201,0.63623524,0.49944243,7.081466,0.5835222,1,Sehat
0.7971584,0.69351184,0.57133156,8.859914,0.6547576,1,Sehat
0.78743964,0.66503626,0.5761193,8.409091,0.69912726,1,Sehat
0.7533062,0.6488879,0.49742496,7.1072164,0.55595183,1,Sehat
0.7133237,0.61359006,0.4858048,5.9765105,0.5714616,1,Sehat
0.73735803,0.65454537,0.4829878,6.614931,0.52388453,1,Sehat
0.6774601,0.56003135,0.49538746,5.2007823,0.59640163,1,Sehat
0.7531724,0.67562425,0.50343716,7.1028223,0.5565771,1,Sehat
0.6632808,0.61850685,0.4781863,4.9396663,0.5385344,1,Sehat
0.7379428,0.63337344,0.5355152,6.631922,0.5980216,1,Sehat
0.76870745,0.6879203,0.5206231,7.6470585,0.5674929,1,Sehat
0.71939236,0.6013316,0.5097087,6.1273885,0.6393456,1,Sehat
0.81365937,0.6987167,0.5942118,9.733032,0.7316704,1,Sehat
0.6011934,0.5540541,0.4020173,4.0149627,0.44425663,1,Sehat
0.7420784,0.65480953,0.5280668,6.7542953,0.6153761,1,Sehat
0.7470911,0.63643837,0.5342229,6.907986,0.6352436,1,Sehat
0.72713786,0.6308052,0.4878399,6.3297105,0.5506888,1,Sehat
0.78274626,0.68736273,0.5714506,8.205825,0.6601558,1,Sehat
0.7239761,0.60516393,0.5254954,6.2457495,0.63106614,1,Sehat
0.598851,0.5001123,0.40891254,3.9856799,0.47519562,1,Sehat
0.70322,0.62526864,0.4961868,5.7389984,0.5710994,1,Sehat
0.6477987,0.6050175,0.38907543,4.678571,0.41905606,1,Sehat
0.80100465,0.652251,0.6111439,9.050486,0.7450938,1,Sehat
0.7084386,0.634913,0.46952438,5.859618,0.55910033,1,Sehat
0.7326733,0.62687516,0.51715374,6.4814816,0.57581437,1,Sehat
0.7640216,0.6502137,0.5621561,7.4753523,0.65954167,1,Sehat
0.7612873,0.6801833,0.5188782,7.3782697,0.6126077,1,Sehat
0.7291754,0.6324837,0.5344651,6.3848534,0.62580836,1,Sehat
0.79775286,0.67727447,0.59735584,8.888889,0.6741726,1,Sehat
0.5830068,0.55133384,0.43055132,3.7962415,0.5077592,1,Sehat
0.64356434,0.5682412,0.47014466,4.611111,0.55547476,1,Sehat
0.60019475,0.5340803,0.4060064,4.002436,0.446736,1,Sehat
0.80432266,0.6956837,0.61402476,9.220907,0.7432504,1,Sehat
0.6128211,0.5226453,0.44593763,4.1655703,0.59903723,1,Sehat
0.7728156,0.67254406,0.52368426,7.803419,0.60075474,1,Sehat
0.80883175,0.70615107,0.6280988,9.461988,0.7692989,1,Sehat
0.77551025,0.65623283,0.5871633,7.909091,0.71433735,1,Sehat
0.68513125,0.628169,0.44198108,5.351852,0.46167308,1,Sehat
0.7152457,0.6028258,0.5233559,6.0235987,0.6282047,1,Sehat
0.7457627,0.64225215,0.48131266,6.866667,0.54548275,1,Sehat
0.79124254,0.6687982,0.5435772,8.580499,0.5829119,1,Sehat
0.5907796,0.5628498,0.3861302,3.8873415,0.40533817,1,Sehat
0.7550327,0.6460418,0.5118382,7.1643558,0.59474224,1,Sehat
0.7232865,0.6204964,0.5255723,6.2276926,0.5847329,1,Sehat
0.51760054,0.4334055,0.38031834,3.1459413,0.5387651,1,Sehat
0.7742919,0.64658314,0.5558916,7.861004,0.6751519,1,Sehat
0.6693741,0.60976726,0.4575441,5.049133,0.5227222,1,Sehat
0.7875943,0.6843566,0.61521137,8.415944,0.77924675,1,Sehat
0.6658996,0.5809975,0.5098884,4.9862227,0.57889825,1,Sehat
0.7041924,0.6141907,0.5117538,5.7611513,0.55701447,1,Sehat
0.76778626,0.654865,0.49590015,7.612756,0.55930173,1,Sehat
0.6142312,0.60161376,0.40576386,4.184453,0.44389352,1,Sehat
0.7559742,0.6545695,0.47136846,7.1958523,0.51963365,1,Sehat
0.75365806,0.66076124,0.5869314,7.118797,0.68242043,1,Sehat
0.6860531,0.6237085,0.42671505,5.3705034,0.4719546,1,Sehat
0.816439,0.72429824,0.60633147,9.8955555,0.69602865,1,Sehat
0.6886931,0.5931656,0.46456087,5.424528,0.52515674,1,Sehat
0.76242834,0.6721089,0.5210148,7.418511,0.6046705,1,Sehat
0.7736854,0.673085,0.5501735,7.837255,0.62281203,1,Sehat
0.75782543,0.64449006,0.47905582,7.2585034,0.53583914,1,Sehat
0.74906087,0.6493093,0.39036807,6.9700603,0.40654054,1,Sehat
0.80594444,0.7089457,0.61718065,9.306324,0.7229102,1,Sehat
0.7035606,0.61570686,0.44340715,5.7467413,0.47245702,1,Sehat
0.7692644,0.629107,0.5508988,7.6679316,0.64227223,1,Sehat
0.8153164,0.6879257,0.5796423,9.829327,0.6711128,1,Sehat
0.7611874,0.63370883,0.53747225,7.374765,0.6299081,1,Sehat
0.73179066,0.66061527,0.4742133,6.4568624,0.51184434,1,Sehat
0.7794087,0.68976504,0.5707339,8.06654,0.64368093,1,Sehat
0.6791285,0.59463906,0.45519418,5.2330246,0.49507272,1,Sehat
0.6488575,0.5892886,0.53419656,4.695693,0.6296864,1,Sehat
0.70276296,0.6098589,0.49862987,5.728636,0.57657856,1,Sehat
0.7370671,0.6556642,0.5344079,6.606504,0.5970356,1,Sehat
0.69490755,0.6445823,0.4866724,5.5553894,0.53967303,1,Sehat
0.72181976,0.64279795,0.442137,6.1895833,0.46557266,1,Sehat
0.789493,0.6694755,0.616259,8.500875,0.7062995,1,Sehat
0.77216655,0.6391514,0.5898115,7.778342,0.71789545,1,Sehat
0.7194934,0.6535948,0.42412287,6.1299553,0.44499218,1,Sehat
0.68317264,0.58562195,0.49461982,5.3125844,0.5717618,1,Sehat
0.7316062,0.654046,0.47810382,6.4517374,0.54845595,1,Sehat
0.8031238,0.6974269,0.59416175,9.158664,0.66719025,1,Sehat
0.5882891,0.5534676,0.41165173,3.8577776,0.4398235,1,Sehat
0.78646857,0.6320114,0.5964999,8.366301,0.7269639,1,Sehat
0.6979317,0.59764653,0.47532213,5.621019,0.5603182,1,Sehat
0.71773547,0.62363684,0.45978004,6.0855517,0.50123674,1,Sehat
0.73720133,0.65438783,0.45655233,6.6103897,0.4925509,1,Sehat
0.69556344,0.6097798,0.45864156,5.5695143,0.5304503,1,Sehat
0.67798036,0.60590607,0.42329246,5.2108016,0.540595,1,Sehat
0.8092165,0.6784951,0.56402564,9.483091,0.6547352,1,Sehat
0.77963024,0.7007274,0.4158396,8.075658,0.41835225,1,Sehat
0.79712063,0.6829382,0.6543058,8.858075,0.7720541,1,Sehat
0.64189065,0.5282954,0.4997114,4.584886,0.64535964,1,Sehat
0.6598241,0.58851475,0.46512246,4.8793106,0.52304995,1,Sehat
0.6589519,0.63631594,0.42419225,4.864275,0.4726558,1,Sehat
0.71999073,0.6069414,0.49978513,6.1426206,0.59012717,1,Sehat
0.7749758,0.6486487,0.5901034,7.8879313,0.71930146,1,Sehat
0.73685825,0.6549502,0.43565977,6.600467,0.45413205,1,Sehat
0.6554371,0.5719782,0.47585142,4.8044558,0.58274883,1,Sehat
0.8067146,0.7080028,0.5502726,9.347395,0.62054974,1,Sehat
0.70759255,0.626943,0.51881194,5.8397713,0.59357125,1,Sehat
0.80596024,0.69695085,0.661413,9.307167,0.8198046,1,Sehat
0.7301006,0.623176,0.51088345,6.410169,0.55982316,1,Sehat
0.7545264,0.6691368,0.5513846,7.147513,0.62471676,1,Sehat
0.79756504,0.6898564,0.54538035,8.879718,0.651064,1,Sehat
0.6169154,0.5330188,0.38848925,4.220779,0.41804013,1,Sehat
0.71947193,0.60131717,0.49534726,6.129411,0.5775053,1,Sehat
0.6431733,0.55376685,0.35699886,4.604962,0.38861915,1,Sehat
